,concept_id,concept_name,domain_id,concept_class_id,vocabulary_id,found_from,,Narrow ,narrow_v2,overall,primary or by drug,overall_v2,primary or by drug_v2
1,36716182,Acute kidney injury due to circulatory failure,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
2,36716183,Acute kidney injury due to hypovolemia,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
3,36716312,Acute kidney injury due to sepsis,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
4,37111531,Acute kidney injury due to trauma,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
5,37116430,Acute kidney failure stage 1,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,y,y,y
6,37116431,Acute kidney failure stage 2,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,y,y,y
7,37116432,Acute kidney failure stage 3,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,y,y,y
8,37395514,Acute kidney injury due to acute tubular necrosis due to hypovolaemia,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
9,37395516,Acute kidney injury due to acute tubular necrosis due to circulatory failure,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
10,37395517,Acute kidney injury due to acute tubular necrosis due to sepsis,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
11,37395518,Acute kidney injury due to acute tubular necrosis with histological evidence,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
12,37395519,Acute kidney injury due to acute tubular necrosis due to hypovolaemia with histological evidence,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
13,37395520,Acute kidney injury due to acute tubular necrosis due to sepsis with histological evidence,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
14,37395521,Acute kidney injury due to acute tubular necrosis due to circulatory failure with histological evidence,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,n,y,n
15,44809061,Acute kidney injury stage 1,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,y,y,y
16,44809062,Acute kidney injury stage 2,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,y,y,y
17,44809063,Acute kidney injury stage 3,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,y,y,y
18,45757442,Acute nontraumatic kidney injury,condition,Clinical Finding,SNOMED,From initial search,,y,y,y,y,y,y
19,46286899,At risk of acute kidney injury,condition,Clinical Finding,SNOMED,From initial search,,n,n,n,n,n,n
