,concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,Include?
1,46273454,From initial search,Moderate persistent asthma co-occurrent with allergic rhinitis,Condition,SNOMED,S,y
5,46270573,From initial search,Intermittent asthma well controlled,Condition,SNOMED,S,y
6,44784373,From initial search,Under care of asthma specialist nurse,Observation,SNOMED,S,y
7,45769352,From initial search,Acute severe exacerbation of mild persistent asthma,Condition,SNOMED,S,y
8,45773005,From initial search,Acute exacerbation of intrinsic asthma,Condition,SNOMED,S,y
9,42536207,From initial search,Life threatening acute exacerbation of asthma,Condition,SNOMED,S,y
11,42536649,From initial search,Uncomplicated non-allergic asthma,Condition,SNOMED,S,y
14,35816092,From initial search,Asthma,Observation,UK Biobank,S,y
18,46273635,From initial search,Steroid dependent asthma,Condition,SNOMED,S,y
21,317009,From initial search,Asthma,Condition,SNOMED,S,y
28,46269780,From initial search,Mild persistent allergic asthma uncontrolled,Condition,SNOMED,S,y
29,46269786,From initial search,Moderate persistent allergic asthma controlled,Condition,SNOMED,S,y
30,37108581,From initial search,Severe uncontrolled persistent asthma,Condition,SNOMED,S,y
31,46269789,From initial search,Moderate persistent asthma uncontrolled co-occurrent with allergic rhinitis,Condition,SNOMED,S,y
35,312950,From initial search,IgE-mediated allergic asthma,Condition,SNOMED,S,y
36,764331,From initial search,Referral for management of asthma,Observation,SNOMED,S,y
39,4194289,From initial search,Asthma - currently active,Condition,SNOMED,S,y
40,4308356,From initial search,Asthma finding,Condition,SNOMED,S,y
42,4214589,From initial search,Asthma follow-up,Observation,SNOMED,S,y
43,37109103,From initial search,Oral steroid-dependent asthma,Condition,SNOMED,S,y
44,4015947,From initial search,Asthma causing night waking,Condition,SNOMED,S,y
47,45772937,From initial search,Exacerbation of moderate persistent asthma,Condition,SNOMED,S,y
48,44805089,From initial search,Asthma causes symptoms most nights,Condition,SNOMED,S,y
49,35811561,From initial search,Recent medication for asthma,Observation,UK Biobank,S,y
54,36684328,From initial search,Acute severe exacerbation of allergic asthma,Condition,SNOMED,S,y
55,37206717,From initial search,Near fatal asthma,Condition,SNOMED,S,y
61,46274060,From initial search,Mild persistent allergic asthma controlled,Condition,SNOMED,S,y
62,46269770,From initial search,Severe persistent allergic asthma,Condition,SNOMED,S,y
63,46269785,From initial search,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis,Condition,SNOMED,S,y
64,46269787,From initial search,Moderate persistent controlled asthma co-occurrent with allergic rhinitis,Condition,SNOMED,S,y
65,43530745,From initial search,Asthma with irreversible airway obstruction,Condition,SNOMED,S,y
66,4293732,From initial search,Asthma monitoring by nurse,Observation,SNOMED,S,y
67,4235703,From initial search,Asthma management,Observation,SNOMED,S,y
68,4250128,From initial search,Aspirin-induced asthma,Condition,SNOMED,S,y
69,4213782,From initial search,Referral to asthma clinic,Observation,SNOMED,S,y
73,443801,From initial search,Exercise-induced asthma,Condition,SNOMED,S,y
78,1340255,From initial search,Exacerbation of asthma,Condition,OMOP Extension,S,y
81,45768912,From initial search,Exacerbation of severe persistent asthma,Condition,SNOMED,S,y
