,concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,Include?
5,36712936,From initial search,Lymphedema of left lower limb,Condition,SNOMED,S,y
6,3657789,From initial search,Bilateral edema of upper eyelids,Condition,SNOMED,S,y
7,3657790,From initial search,Bilateral edema of lower eyelids,Condition,SNOMED,S,y
8,36717015,From initial search,Edema of optic disc of bilateral eyes,Condition,SNOMED,S,y
15,4296646,From initial search,Factitious lymphedema,Condition,SNOMED,S,y
18,40481037,From initial search,Edema of palm of hand,Condition,SNOMED,S,y
19,40481932,From initial search,Edema of shoulder,Condition,SNOMED,S,y
20,40482408,From initial search,Edema of dorsum of foot,Condition,SNOMED,S,y
21,40481124,From initial search,Edema of back,Condition,SNOMED,S,y
23,4263453,From initial search,Subepidermal edema,Observation,SNOMED,S,y
24,44802493,From initial search,Oedema of neck,Condition,SNOMED,S,y
25,4173563,From initial search,Pitting edema,Observation,SNOMED,S,y
29,4010969,From initial search,Edema of wrist,Condition,SNOMED,S,y
31,4245407,From initial search,Edema of nasopharynx,Condition,SNOMED,S,y
32,4276529,From initial search,Edema of spinal cord,Condition,SNOMED,S,y
38,44805390,From initial search,Worsening peripheral oedema,Condition,SNOMED,S,y
41,4121791,From initial search,Lipedema,Condition,SNOMED,S,y
43,4081073,From initial search,Vibratory angioedema,Condition,SNOMED,S,y
44,4083997,From initial search,NSAID-induced angioedema-urticaria,Condition,SNOMED,S,y
45,4087152,From initial search,Edema of structure within eye,Condition,SNOMED,S,y
47,4155910,From initial search,"Edema, generalized",Condition,SNOMED,S,y
48,4171917,From initial search,Localized edema,Condition,SNOMED,S,y
49,1340432,From initial search,Exacerbation of peripheral edema,Condition,OMOP Extension,S,y
50,4124333,From initial search,Edema of clitoris,Condition,SNOMED,S,y
52,37207850,From initial search,Pseudopapilledema of right eye,Condition,SNOMED,S,y
53,37207994,From initial search,Bilateral conjunctival edema,Condition,SNOMED,S,y
54,37208020,From initial search,Bilateral periorbital edema,Condition,SNOMED,S,y
55,3175599,From initial search,Bilateral lower extremity edema,Condition,Nebraska Lexicon,S,y
56,377875,From initial search,Idiopathic corneal edema,Condition,SNOMED,S,y
57,37207425,From initial search,Mild generalized edema,Condition,SNOMED,S,y
58,37207426,From initial search,Moderate generalized edema,Condition,SNOMED,S,y
62,376690,From initial search,Cerebral edema,Condition,SNOMED,S,y
63,37311856,From initial search,Edema of right upper arm,Condition,SNOMED,S,y
64,44809280,From initial search,Referred by lymphoedema service,Observation,SNOMED,S,y
67,3656022,From initial search,Edema of vocal cord,Condition,SNOMED,S,y
68,4317260,From initial search,Edematous skin,Condition,SNOMED,S,y
72,4270865,From initial search,Episodic angioedema with eosinophilia,Condition,SNOMED,S,y
73,4223489,From initial search,Idiopathic angioedema,Condition,SNOMED,S,y
74,4222260,From initial search,Idiopathic urticaria and/or angioedema,Condition,SNOMED,S,y
76,36712935,From initial search,Lymphedema of right lower limb,Condition,SNOMED,S,y
77,36712938,From initial search,Lymphedema of right upper limb,Condition,SNOMED,S,y
78,761571,From initial search,Microcystic edema of cornea of right eye,Condition,SNOMED,S,y
79,37108959,From initial search,Edema of optic disc of right eye,Condition,SNOMED,S,y
81,4222871,From initial search,2+ pitting edema,Condition,SNOMED,S,y
82,4309070,From initial search,Edema of extremity,Condition,SNOMED,S,y
83,441564,From initial search,Optic disc edema associated with retinal disorder,Condition,SNOMED,S,y
