,concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,Include?
1,4234524,From initial search,Nausea and vomiting control behavior,Observation,SNOMED,S,y
2,4234652,From initial search,Nausea and vomiting status: disruptive effects,Observation,SNOMED,S,y
3,44806510,From initial search,Minimal nausea,Condition,SNOMED,S,y
4,31967,From initial search,Nausea,Condition,SNOMED,S,y
9,42539349,From initial search,Functional nausea,Condition,SNOMED,S,y
13,4296392,From initial search,Nausea care,Observation,SNOMED,S,y
15,42868877,From initial search,I have nausea in the past 7 days [FACIT],Observation,LOINC,S,y
16,46236401,From initial search,"Patient has anorexia, nausea or vomiting in the past week [UPDRS]",Observation,LOINC,S,y
19,4247894,From initial search,Increased nausea and vomiting,Condition,SNOMED,S,y
21,27674,From initial search,Nausea and vomiting,Condition,SNOMED,S,y
23,4170402,From initial search,Drug-induced nausea and vomiting,Condition,SNOMED,S,y
27,1340406,From initial search,Exacerbation of nausea,Condition,OMOP Extension,S,y
30,44783646,From initial search,Intractable nausea and vomiting,Condition,SNOMED,S,y
31,4012500,From initial search,Nausea present,Observation,SNOMED,S,y
35,21493942,From initial search,Nausea [Presence],Observation,LOINC,S,y
39,4188573,From initial search,Tendency to nausea and vomiting,Condition,SNOMED,S,y
